name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids,minimum_permission_set,requested_atoms_used,necessary_atoms_used,reach,phi,gamma,pdei_score,n_eff,n_eff_tier,n_eff_source,platform_median_used,alpha1_star_used,alpha2_fork_used,lambda_dev,delta_t1,delta_t2,delta_t3,delta_t4,extra_t1,extra_t2,extra_t3,extra_t4,unknown_requested_atoms,unknown_necessary_atoms,path_A,path_B,path_C,path_D,path_E
ai-seo,,,12098,1590,alirezarezvani,False,14432,Dom-2,T,skillsmp,"A4,A5,G1,I3,Q1,Q3,Q4,R7,R8,U3","G1,Q3,Q4,R8,S7,X7","[""G1"", ""R1"", ""R2""]","A4,A5,G1,I3,Q1,Q3,Q4,R7,R8,U3","G1,R1,R2",7.987,18.0,13.0,1869.03,24196.0,2,star_proxy,38042.0,2.0,2.0,1.8,4,1,0,3,"Q3,Q4,R7,R8",U3,,"A4,A5,I3",,,1,0,0,1,0
grammarly-common-errors,,,1990,269,jeremylongshore,False,2092,Dom-2,T,skillsmp,"A5,A7,R7,X1,X7,X8",,"[""G1"", ""R1"", ""R2""]","A5,A7,R7,X1,X7,X8","G1,R1,R2",6.579,16.5,10.0,1085.55,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,2,R7,,"X1,X7,X8","A5,A7",,,0,1,0,0,1
popup-cro,,,12098,1590,alirezarezvani,False,14432,Dom-2,T,skillsmp,"G1,Q1,Q3,Q4,R7","G1,G2,Q4,W3","[""G1"", ""R1"", ""R2""]","G1,Q1,Q3,Q4,R7","G1,R1,R2",7.987,3.0,1.0,23.96,24196.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,0,0,"Q3,Q4,R7",,,,,,0,0,0,0,0
vibe-prd,,,2239,288,KhazP,False,2265,Dom-2,T,skillsmp,"A3,G1,Q1,R7",,"[""G1"", ""R1"", ""R2""]","A3,G1,Q1,R7","G1,R1,R2",6.667,5.0,1.0,33.33,4478.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,0,1,R7,,,A3,,,0,0,0,0,0
viral-generator-builder,,153.0,24807,2453,davila7,False,26056,Dom-2,T,skill.sh,"A3,R1,U1",,"[""G1"", ""R1"", ""R2""]","A3,R1,U1","G1,R1,R2",8.526,6.0,8.0,409.24,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,1,0,1,,U1,,A3,,,0,0,0,1,0
brief,,3389.0,6,1,calm-north,True,6,Dom-2,T,skill.sh,"G1,Q1,Q2,Q3,Q4,R7,R8,U1",,"[""G1"", ""R1"", ""R2""]","G1,Q1,Q2,Q3,Q4,R7,R8,U1","G1,R1,R2",1.764,7.0,6.0,74.09,12.0,2,star_proxy,5562.0,2.0,2.0,1.5,5,1,0,0,"Q2,Q3,Q4,R7,R8",U1,,,,,1,0,0,0,0
content-production,0.0,,12098,1590,alirezarezvani,False,14432,Dom-2,T,skillsdirectory,"A4,G1,G2,I3,Q1,Q2,Q3,Q4,R1,R7,R8","G1,G2,K4,Q2,Q3,Q4,R10,R5,R8","[""G1"", ""R1"", ""R2""]","A4,G1,G2,I3,Q1,Q2,Q3,Q4,R1,R7,R8","G1,R1,R2",7.987,13.0,1.0,103.83,24196.0,2,star_proxy,36905.0,2.0,2.0,1.8,5,0,0,2,"Q2,Q3,Q4,R7,R8",,,"A4,I3",,,0,0,0,0,0
writing-skills,,,32678,2540,PostHog,True,38057,Dom-2,T,skillsmp,"O4,Q1,R1,R7,R8",,"[""G1"", ""R1"", ""R2""]","O4,Q1,R1,R7,R8","G1,R1,R2",8.726,4.5,4.0,157.07,65356.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"R7,R8",,O4,,,,0,1,0,0,0
scientific-writing,,,19021,2131,K-Dense-AI,True,23527,Dom-2,T,skillsmp,"A5,G1,G2,I3,O3,O4,Q1,Q2,Q3,Q4,R1,R7,R8,R9,U1,X1","A2,A5,C1,G1,G2,G5,I4,O4,Q1,Q3,Q4,R1,R10,R5,R8,U1,U2,W1,W3,X1,X4,X5,X6,X7,X8","[""G1"", ""R1"", ""R2""]","A5,G1,G2,I3,O3,O4,Q1,Q2,Q3,Q4,R1,R7,R8,R9,U1,X1","G1,R1,R2",8.328,23.5,26.0,5088.11,38042.0,2,star_proxy,38042.0,2.0,2.0,1.8,6,1,3,2,"Q2,Q3,Q4,R7,R8,R9",U1,"O3,O4,X1","A5,I3",,,1,1,1,1,1
customer-persona,,5050.0,356,63,inferen-sh,True,0,Dom-2,T,skill.sh,"A3,A5,G1,Q1,Q3,Q4,R1,R7,R8,X1,X8",,"[""G1"", ""R1"", ""R2""]","A3,A5,G1,Q1,Q3,Q4,R1,R7,R8,X1,X8","G1,R1,R2",4.386,17.0,10.0,745.56,712.0,2,star_proxy,5562.0,2.0,2.0,1.5,4,0,2,2,"Q3,Q4,R7,R8",,"X1,X8","A3,A5",,,0,1,0,0,1
page-cro,,21508.0,22551,3630,coreyhaines31,False,22562,Dom-2,T,skill.sh,"G1,Q1,Q3,Q4,R7,U1","G1,G2,Q3,Q4,U1,W3","[""G1"", ""R1"", ""R2""]","G1,Q1,Q3,Q4,R7,U1","G1,R1,R2",8.494,5.0,6.0,254.83,45102.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,1,0,0,"Q3,Q4,R7",U1,,,,,1,0,0,0,0
internal-comms,,13902.0,121212,14081,anthropics,True,431138,Dom-2,T,skill.sh,"G2,I3,Q3,Q4,R1,R7,R8","A2,G1,G2,Q3,Q4,R8","[""G1"", ""R1"", ""R2""]","G2,I3,Q3,Q4,R1,R7,R8","G1,R1,R2",9.778,8.0,1.0,78.23,242424.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,0,0,1,"Q3,Q4,R7,R8",,,I3,,,0,0,0,0,0
brand-voice,,,162357,25224,affaan-m,False,163369,Dom-2,T,skillsmp,"I3,O4,Q3,R7,S3",,"[""G1"", ""R1"", ""R2""]","I3,O4,Q3,R7,S3","G1,R1,R2",10.034,9.5,10.0,953.19,324714.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,1,1,"Q3,R7,S3",,O4,I3,,,0,1,0,0,1
pitch-deck-visuals,,5084.0,356,63,inferen-sh,True,0,Dom-2,T,skill.sh,"Q1,Q3,R1,R8,U1,X1,X8",,"[""G1"", ""R1"", ""R2""]","Q1,Q3,R1,R8,U1,X1,X8","G1,R1,R2",4.386,9.0,13.0,513.12,712.0,2,star_proxy,5562.0,2.0,2.0,1.5,2,1,2,0,"Q3,R8",U1,"X1,X8",,,,1,1,1,0,0
search-to-slack,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"A3,A4,G1,I3,Q1,R8,X1,X8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A3,A4,G1,I3,Q1,R8,X1,X8","G1,Q1,R1,W1,W2",6.579,18.0,10.0,1184.23,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,3,R8,,"X1,X8","A3,A4,I3",,,0,1,0,0,1
exa-reliability-patterns,,21.0,1990,269,jeremylongshore,False,2092,Dom-3,T,skill.sh,"A5,A7,O4,Q1,R7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A5,A7,O4,Q1,R7","G1,Q1,R1,W1,W2",6.579,11.5,10.0,756.59,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,2,R7,,O4,"A5,A7",,,0,1,0,0,1
seo-optimizer,,,24807,2453,davila7,False,26056,Dom-3,T,skillsmp,"G1,Q1,Q2,Q4,R1",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","G1,Q1,Q2,Q4,R1","G1,Q1,R1,W1,W2",8.526,2.0,1.0,17.05,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,0,0,"Q2,Q4",,,,,,0,0,0,0,0
technical-seo-checker,,1213.0,1099,160,aaron-he-zhu,False,1123,Dom-3,T,skill.sh,"A5,G1,O3,Q1,Q4,R1,R7,R8,U1,X1,X5","A2,A4,A5,A7,C2,G1,G2,O4,Q4,R6,S4,S7,X1,X3,X5,X7,X8","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A5,G1,O3,Q1,Q4,R1,R7,R8,U1,X1,X5","G1,Q1,R1,W1,W2",6.122,16.5,26.0,2626.43,2198.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,1,3,1,"Q4,R7,R8",U1,"O3,X1,X5",A5,,,1,1,1,1,1
exa-core-workflow-a,,21.0,1990,269,jeremylongshore,False,2092,Dom-3,T,skill.sh,"Q1,R7,X1",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","Q1,R7,X1","G1,Q1,R1,W1,W2",6.579,3.5,4.0,92.11,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,0,R7,,X1,,,,0,1,0,0,0
serpapi-sdk-patterns,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"O4,Q1,R8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","O4,Q1,R8","G1,Q1,R1,W1,W2",6.579,3.5,4.0,92.11,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,1,0,R8,,O4,,,,0,1,0,0,0
weathermap-automation,,,55259,5931,ComposioHQ,True,98912,Dom-3,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","I4,O3,Q1,R1,R7,X7","G1,Q1,R1,W1,W2",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
perplexity-search,,319.0,24807,2453,davila7,False,26056,Dom-3,T,skill.sh,"A3,A5,A7,G1,I3,I4,O3,O4,Q1,Q3,R1,R7,R8,X4,X7,X8","A5,A7,G1,G5,I4,O4,Q3,Q4,R1,R5,X4,X6,X7","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A3,A5,A7,G1,I3,I4,O3,O4,Q1,Q3,R1,R7,R8,X4,X7,X8","G1,Q1,R1,W1,W2",8.526,35.5,10.0,3026.66,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,5,5,"Q3,R7,R8",,"O3,O4,X4,X7,X8","A3,A5,A7,I3,I4",,,0,1,0,0,1
qdrant,,,7151,552,Orchestra-Research,True,7151,Dom-3,T,skillsmp,"A7,G1,K5,O3,Q1,Q4,R1,R7,R8,R9,W2,X3,X4,X7,X8","A5,G5,I4,Q1,Q4,W1,W3,X1,X3,X4,X5,X8","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A7,G1,K5,O3,Q1,Q4,R1,R7,R8,R9,W2,X3,X4,X7,X8","G1,Q1,R1,W1,W2",7.538,23.0,10.0,1733.72,14302.0,2,star_proxy,38042.0,2.0,2.0,1.8,4,0,6,1,"Q4,R7,R8,R9",,"K5,O3,X3,X4,X7,X8",A7,,,0,1,0,0,1
bgpt-paper-search,,,19021,2131,K-Dense-AI,True,23527,Dom-3,T,skillsmp,"C5,I4,Q1,R8,X1",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","C5,I4,Q1,R8,X1","G1,Q1,R1,W1,W2",8.328,9.5,26.0,2056.89,38042.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,1,1,1,R8,C5,X1,I4,,,1,1,1,1,1
research-ops,,,162357,25224,affaan-m,False,163369,Dom-3,T,skillsmp,"A5,G1,Q1,Q4,R7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A5,G1,Q1,Q4,R7","G1,Q1,R1,W1,W2",10.034,6.0,1.0,60.2,324714.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,0,1,"Q4,R7",,,A5,,,0,0,0,0,0
openalex-database,,184.0,24807,2453,davila7,False,26056,Dom-3,T,skill.sh,"A5,A7,G1,I4,O3,Q1,Q2,Q3,Q4,R7,R9,X4","A3,A5,A7,G1,G5,Q4,R10,R5,W1,W2,X5,X6","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A5,A7,G1,I4,O3,Q1,Q2,Q3,Q4,R7,R9,X4","G1,Q1,R1,W1,W2",8.526,22.0,10.0,1875.68,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,5,0,2,3,"Q2,Q3,Q4,R7,R9",,"O3,X4","A5,A7,I4",,,0,1,0,0,1
brightdata-local-search,,,24807,2453,davila7,False,26056,Dom-3,T,skillsmp,"A5,I4,Q1,R8,X3,X4,X7,X8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A5,I4,Q1,R8,X3,X4,X7,X8","G1,Q1,R1,W1,W2",8.526,19.0,10.0,1619.9,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,4,2,R8,,"X3,X4,X7,X8","A5,I4",,,0,1,0,0,1
diagnose-seo,,1158.0,6,1,calm-north,True,6,Dom-3,T,skill.sh,Q1,,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]",Q1,"G1,Q1,R1,W1,W2",1.764,0.0,1.0,0.0,12.0,2,star_proxy,5562.0,2.0,2.0,1.5,0,0,0,0,,,,,,,0,0,0,0,0
add-parallel,,,27598,12502,gavrielc,False,1276,Dom-3,T,skillsmp,"A3,G1,I3,I4,Q1,Q2,Q4,R1,X1,X3,X7,X8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A3,G1,I3,I4,Q1,Q2,Q4,R1,X1,X3,X7,X8","G1,Q1,R1,W1,W2",8.828,24.0,10.0,2118.61,55196.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,4,3,"Q2,Q4",,"X1,X3,X7,X8","A3,I3,I4",,,0,1,0,0,1
algolia-performance-tuning,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"O3,Q1",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","O3,Q1","G1,Q1,R1,W1,W2",6.579,2.5,1.0,16.45,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,1,0,,,O3,,,,0,0,0,0,0
google_maps-automation,,,55259,5931,ComposioHQ,True,98912,Dom-3,F,skillsmp,"A7,I4,O3,Q1,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A7,I4,O3,Q1,R1,R7,X7","G1,Q1,R1,W1,W2",9.158,14.0,10.0,1282.1,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,2,R7,,"O3,X7","A7,I4",,,0,1,0,0,1
docs-search,,71.0,24807,2453,davila7,False,26056,Dom-3,T,skill.sh,"Q1,R7,R8,X1,X8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","Q1,R7,R8,X1,X8","G1,Q1,R1,W1,W2",8.526,7.0,4.0,238.72,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,2,0,"R7,R8",,"X1,X8",,,,0,1,0,0,0
serpapi-prod-checklist,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"A7,I4,O4,Q1,X1,X7,X8",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A7,I4,O4,Q1,X1,X7,X8","G1,Q1,R1,W1,W2",6.579,18.0,7.0,828.96,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,4,2,,,"O4,X1,X7,X8","A7,I4",,,0,0,0,0,1
domain-intel,,,106078,15187,NousResearch,True,115167,Dom-3,T,skillsmp,"G1,I4,O3,Q1,R8,W1,X1,X8","A5,R1,R10,W1","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","G1,I4,O3,Q1,R8,W1,X1,X8","G1,Q1,R1,W1,W2",9.693,12.5,10.0,1211.57,212156.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,1,R8,,"O3,X1,X8",I4,,,0,1,0,0,1
web-quality-audit,,3174.0,1781,152,addyosmani,False,81168,Dom-3,T,skill.sh,"G1,Q1,R7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","G1,Q1,R7","G1,Q1,R1,W1,W2",6.457,1.0,1.0,6.46,3562.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,0,0,R7,,,,,,0,0,0,0,0
seo,,,162357,25224,affaan-m,False,163369,Dom-3,T,skillsmp,"A3,A5,G1,Q1,Q3,R7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A3,A5,G1,Q1,Q3,R7","G1,Q1,R1,W1,W2",10.034,10.0,1.0,100.34,324714.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,0,2,"Q3,R7",,,"A3,A5",,,0,0,0,0,0
github-pr-query,,,4336,356,github,True,665129,Dom-3,T,skillsmp,"Q1,Q2,R8,X8","G2,Q2,X8","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","Q1,Q2,R8,X8","G1,Q1,R1,W1,W2",7.15,4.5,4.0,128.71,8672.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"Q2,R8",,X8,,,,0,1,0,0,0
github-issue-query,,,4336,356,github,True,665129,Dom-3,T,skillsmp,"Q1,Q2,R8,X8","Q2,X8","[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","Q1,Q2,R8,X8","G1,Q1,R1,W1,W2",7.15,4.5,4.0,128.71,8672.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"Q2,R8",,X8,,,,0,1,0,0,0
serpapi-deploy-integration,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"A4,I4,Q1,R7,X1,X7",,"[""G1"", ""Q1"", ""R1"", ""W1"", ""W2""]","A4,I4,Q1,R7,X1,X7","G1,Q1,R1,W1,W2",6.579,14.0,10.0,921.07,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,2,R7,,"X1,X7","A4,I4",,,0,1,0,0,1
assemblyai-core-workflow-a,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"G1,I4,O4,Q1,Q3,Q4,R7,X1",,"[""Q1"", ""R1"", ""W2"", ""W3""]","G1,I4,O4,Q1,Q3,Q4,R7,X1","Q1,R1,W2,W3",6.579,12.0,10.0,789.49,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,2,1,"Q3,Q4,R7",,"O4,X1",I4,,,0,1,0,0,1
scrape-do-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""Q1"", ""R1"", ""W2"", ""W3""]","I4,O3,Q1,R1,R7,X7","Q1,R1,W2,W3",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
brightdata-core-workflow-b,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A4,A5,Q1,Q4,R7,R8,X1,X7,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","A4,A5,Q1,Q4,R7,R8,X1,X7,X8","Q1,R1,W2,W3",6.579,18.5,10.0,1217.13,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,3,2,"Q4,R7,R8",,"X1,X7,X8","A4,A5",,,0,1,0,0,1
gif-search,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"I4,Q1,X7,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","I4,Q1,X7,X8","Q1,R1,W2,W3",9.693,9.0,7.0,610.63,212156.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"X7,X8",I4,,,0,0,0,0,1
flyio-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"O4,Q1,Q3,X1,X7,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","O4,Q1,Q3,X1,X7,X8","Q1,R1,W2,W3",6.579,11.0,4.0,289.48,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,4,0,Q3,,"O4,X1,X7,X8",,,,0,1,0,0,0
azure-resource-visualizer,,7295.0,30605,3652,github,True,665129,Dom-4,T,skill.sh,"G1,O4,Q1,Q2,Q4,R7,X7,X8","G1,I6","[""Q1"", ""R1"", ""W2"", ""W3""]","G1,O4,Q1,Q2,Q4,R7,X7,X8","Q1,R1,W2,W3",8.704,10.5,4.0,365.59,61210.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,3,0,"Q2,Q4,R7",,"O4,X7,X8",,,,0,1,0,0,0
scrape,,,24807,2453,davila7,False,26056,Dom-4,T,skillsmp,"I4,W1,X7,X8","G1,I4,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","I4,W1,X7,X8","Q1,R1,W2,W3",8.526,9.0,7.0,537.13,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"X7,X8",I4,,,0,0,0,0,1
arize-trace,,,30605,3652,github,True,665129,Dom-4,T,skillsmp,"A4,A7,G1,G3,I4,O3,Q1,Q2,Q3,R1,R7,R9,W2,X7,X8","A2,A7,I4,Q4,R6,X2,X4,X7,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A4,A7,G1,G3,I4,O3,Q1,Q2,Q3,R1,R7,R9,W2,X7,X8","Q1,R1,W2,W3",8.704,26.0,10.0,2263.15,61210.0,2,star_proxy,38042.0,2.0,2.0,1.8,4,0,4,3,"Q2,Q3,R7,R9",,"G3,O3,X7,X8","A4,A7,I4",,,0,1,0,0,1
openrouter-model-availability,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A3,A5,Q1,Q2,R1,R7,X1,X7,X8","A5,A7,I4,Q2,R1,W1,X5,X7,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A3,A5,Q1,Q2,R1,R7,X1,X7,X8","Q1,R1,W2,W3",6.579,17.5,10.0,1151.34,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,3,2,"Q2,R7",,"X1,X7,X8","A3,A5",,,0,1,0,0,1
package-search,,,2781,317,davepoon,False,2817,Dom-4,T,skillsmp,"A4,G1,Q1,Q2,Q4,R8,X1,X4,X7,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","A4,G1,Q1,Q2,Q4,R8,X1,X4,X7,X8","Q1,R1,W2,W3",6.826,17.0,10.0,1160.41,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,4,1,"Q2,Q4,R8",,"X1,X4,X7,X8",A4,,,0,1,0,0,1
dictionary-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""Q1"", ""R1"", ""W2"", ""W3""]","I4,O3,Q1,R1,R7,X7","Q1,R1,W2,W3",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
datacommons-client,,132.0,24807,2453,davila7,False,26056,Dom-4,T,skill.sh,"G1,I3,I4,O3,Q1,Q2,R1,R7,R8,S4,X4,X7","A2,G1,I4,R1,S4,U2,W1,X1,X4","[""Q1"", ""R1"", ""W2"", ""W3""]","G1,I3,I4,O3,Q1,Q2,R1,R7,R8,S4,X4,X7","Q1,R1,W2,W3",8.526,19.5,10.0,1662.53,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,0,3,2,"Q2,R7,R8,S4",,"O3,X4,X7","I3,I4",,,0,1,0,0,1
external-context,,,30354,2810,Yeachan-Heo,False,56602,Dom-4,T,skillsmp,"Q1,R1,R7,R8,X7",,"[""Q1"", ""R1"", ""W2"", ""W3""]","Q1,R1,R7,R8,X7","Q1,R1,W2,W3",8.679,4.5,4.0,156.22,60708.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"R7,R8",,X7,,,,0,1,0,0,0
scrapling,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"O3,O4,Q1,R8,S3,X4,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","O3,O4,Q1,R8,S3,X4,X8","Q1,R1,W2,W3",9.693,12.0,4.0,465.24,212156.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,4,0,"R8,S3",,"O3,O4,X4,X8",,,,0,1,0,0,0
auditing-wallet-security,,25.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"A7,G1,O4,Q1,Q4,R7,X1,X5,X7","A2,A7,G1,G5,I4,O4,Q2,Q4,R1,R10,R5,U2,W1,X1,X4,X5,X6,X7,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A7,G1,O4,Q1,Q4,R7,X1,X5,X7","Q1,R1,W2,W3",6.579,16.0,10.0,1052.65,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,4,1,"Q4,R7",,"O4,X1,X5,X7",A7,,,0,1,0,0,1
navan-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A7,I4,Q3,R8,W2,X1,X7,X8","G1,I1,I2,W2,X7,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A7,I4,Q3,R8,W2,X1,X7,X8","Q1,R1,W2,W3",6.579,17.5,10.0,1151.34,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,3,2,"Q3,R8",,"X1,X7,X8","A7,I4",,,0,1,0,0,1
youtube-content,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"A5,A7,Q1,Q2,Q4,X4","Q1,R10,W1,X4","[""Q1"", ""R1"", ""W2"", ""W3""]","A5,A7,Q1,Q2,Q4,X4","Q1,R1,W2,W3",9.693,12.5,10.0,1211.57,212156.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,2,"Q2,Q4",,X4,"A5,A7",,,0,1,0,0,1
deep-research,,59.0,1449,217,feiskyer,False,11264,Dom-4,T,skill.sh,"Q2,R1,X1",,"[""Q1"", ""R1"", ""W2"", ""W3""]","Q2,R1,X1","Q1,R1,W2,W3",6.341,3.5,4.0,88.78,2898.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,0,Q2,,X1,,,,0,1,0,0,0
add-pdf-reader,,,27598,12502,gavrielc,False,1276,Dom-4,T,skillsmp,"Q2,R4,R8,X1,X3,X8",,"[""Q1"", ""R1"", ""W2"", ""W3""]","Q2,R4,R8,X1,X3,X8","Q1,R1,W2,W3",8.828,10.5,4.0,370.76,55196.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,3,0,"Q2,R4,R8",,"X1,X3,X8",,,,0,1,0,0,0
firecrawl-performance-tuning,,21.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"O3,Q1,R7,R8,U1",,"[""Q1"", ""R1"", ""W2"", ""W3""]","O3,Q1,R7,R8,U1","Q1,R1,W2,W3",6.579,6.5,13.0,555.93,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,1,1,0,"R7,R8",U1,O3,,,,1,1,1,0,0
rag-qdrant,,,24807,2453,davila7,False,26056,Dom-4,T,skillsmp,"A7,G1,K5,O3,Q1,Q4,R1,R7,R8,R9,W2,X3,X4,X7,X8","A5,G5,I4,Q1,Q4,W1,W3,X1,X3,X4,X5,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A7,G1,K5,O3,Q1,Q4,R1,R7,R8,R9,W2,X3,X4,X7,X8","Q1,R1,W2,W3",8.526,23.0,10.0,1960.94,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,4,0,6,1,"Q4,R7,R8,R9",,"K5,O3,X3,X4,X7,X8",A7,,,0,1,0,0,1
